"Sample ID","Commod","Pesticide Code","Pesticide Name","Test Class","Concentration","LOD","pp_","Confirm 1","Confirm 2","Annotate","Quantitate","Mean","Extract","Determ","EPA Tolerance (ppm)","pesticide_name_clean"
"FL0901200055STMI1","ST","ABC","Spinosad A","I",0.022,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"FL0901200055STMI1","ST","ABD","Spinosad D","I",0.0035,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"FL0904200066STMI1","ST","ABC","Spinosad A","I",0.0077,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"FL0904200072STMI1","ST","ABD","Spinosad D","I",0.0014,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"FL0905180023STMI1","ST","ABC","Spinosad A","I",0.06,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"FL0905180023STMI1","ST","ABD","Spinosad D","I",0.012,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"FL0906150072STMI1","ST","ABD","Spinosad D","I",0.0011,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"FL0912280029STMI1","ST","ABD","Spinosad D","I",0.014,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"FL0912280029STMI1","ST","ABC","Spinosad A","I",0.085,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"MD0906030033STCA1","ST","ABD","Spinosad D","I",0.014,0.0018,"M","LU",NA,NA,NA,"O","805","52","1","spinosad d"
"MD0906030033STCA1","ST","ABC","Spinosad A","I",0.063,0.0018,"M","LU",NA,NA,NA,"O","805","52","1","spinosad a"
"MD0906030036STCA1","ST","ABD","Spinosad D","I",0.003,0.0018,"M","LU",NA,"Q",NA,"O","805","52","1","spinosad d"
"MD0906030036STCA1","ST","ABC","Spinosad A","I",0.011,0.0018,"M","LU",NA,NA,NA,"O","805","52","1","spinosad a"
"MD0907080039STCA1","ST","ABC","Spinosad A","I",0.0071,0.0018,"M","LU",NA,NA,NA,"O","805","52","1","spinosad a"
"MD0907080039STCA1","ST","ABD","Spinosad D","I",0.003,0.0018,"M","LU",NA,"Q",NA,"O","805","52","1","spinosad d"
"MD0908050005STCA1","ST","ABC","Spinosad A","I",0.003,0.0018,"M","LU",NA,"Q",NA,"O","805","52","1","spinosad a"
"MI0901200053STMI1","ST","ABD","Spinosad D","I",0.0017,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"MI0901200053STMI1","ST","ABC","Spinosad A","I",0.0076,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"MI0903170005STMI1","ST","ABD","Spinosad D","I",0.0084,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"MI0903170005STMI1","ST","ABC","Spinosad A","I",0.033,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"MI0906160038STMI1","ST","ABC","Spinosad A","I",0.0079,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"MI0906160103STMI1","ST","ABC","Spinosad A","I",0.0089,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"MI0908170088STMI1","ST","ABD","Spinosad D","I",0.0023,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"NY0902170088STMI1","ST","ABC","Spinosad A","I",0.002,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"NY0903170113STMI1","ST","ABC","Spinosad A","I",0.025,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"NY0905200259STMI1","ST","ABD","Spinosad D","I",0.04,0.001,"M","LU",NA,NA,"E","O","805","52","1","spinosad d"
"NY0906170262STMI1","ST","ABC","Spinosad A","I",0.001,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"NY0906220088STMI1","ST","ABC","Spinosad A","I",0.018,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"NY0907210055STMI1","ST","ABD","Spinosad D","I",0.0021,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"NY0907210055STMI1","ST","ABC","Spinosad A","I",0.012,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"NY0908180186STMI1","ST","ABC","Spinosad A","I",0.0046,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"NY0912150113STMI1","ST","ABC","Spinosad A","I",0.0023,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"OH0901260136STMI1P","ST","ABC","Spinosad A","I",0.0039,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"OH0902230405STMI1","ST","ABC","Spinosad A","I",0.073,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"OH0902230405STMI1","ST","ABD","Spinosad D","I",0.025,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"OH0902230412STMI1","ST","ABC","Spinosad A","I",0.0013,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"OH0905260112STMI1","ST","ABD","Spinosad D","I",0.0025,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"OH0905260112STMI1","ST","ABC","Spinosad A","I",0.012,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"OH0905260412STMI1","ST","ABC","Spinosad A","I",0.0032,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"OH0906220107STMI1","ST","ABD","Spinosad D","I",0.002,0.002,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"OH0906220107STMI1","ST","ABC","Spinosad A","I",0.0089,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"OH0907270118STMI1","ST","ABC","Spinosad A","I",0.016,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"OH0911230212STMI1","ST","ABC","Spinosad A","I",0.03,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"TX0904270021STMI1","ST","ABC","Spinosad A","I",0.0011,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"TX0904270201STMI1","ST","ABD","Spinosad D","I",0.0057,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"TX0904270201STMI1","ST","ABC","Spinosad A","I",0.025,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"TX0904270212STMI1","ST","ABD","Spinosad D","I",0.027,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"TX0905260419STMI1","ST","ABD","Spinosad D","I",0.0042,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"TX0907270419STMI1P","ST","ABC","Spinosad A","I",0.0063,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"TX0907270421STMI1","ST","ABC","Spinosad A","I",0.0018,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"WA0905260010STMI1","ST","ABC","Spinosad A","I",0.0024,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"WA0906220030STMI1","ST","ABD","Spinosad D","I",0.0036,0.002,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"WA0906220030STMI1","ST","ABC","Spinosad A","I",0.0087,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"WA0908240004STMI1","ST","ABC","Spinosad A","I",0.0029,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"WA0909280016STMI1","ST","ABC","Spinosad A","I",0.0023,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"WI0903230103STMI1","ST","ABD","Spinosad D","I",0.0025,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"WI0903230103STMI1","ST","ABC","Spinosad A","I",0.011,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"WI0904270101STMI1","ST","ABD","Spinosad D","I",0.0035,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"WI0904270101STMI1","ST","ABC","Spinosad A","I",0.022,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"WI0904270118STMI1","ST","ABC","Spinosad A","I",0.039,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"WI0904270118STMI1","ST","ABD","Spinosad D","I",0.0069,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"WI0905260123STMI1","ST","ABD","Spinosad D","I",0.0025,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"WI0905260123STMI1","ST","ABC","Spinosad A","I",0.0082,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"WI0907270103STMI1","ST","ABC","Spinosad A","I",0.0057,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"WI0910260101STMI1","ST","ABC","Spinosad A","I",0.0067,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"NY1410210142STCA1","ST","ABB","Spinosad","I",0.0031,0.0025,"M","LU",NA,NA,NA,"O","805","52","1","spinosad"
"NY1410210258STCA1","ST","ABB","Spinosad","I",0.0055,0.0025,"M","LU",NA,NA,NA,"O","805","52","1","spinosad"
"CA1504200230STCA1","ST","ABB","Spinosad","I",0.0036,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"CA1504200268STCA1","ST","ABB","Spinosad","I",0.0032,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"CA1505180551STCA1","ST","ABB","Spinosad","I",0.003,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"FL0901200039STMI1","ST","ABC","Spinosad A","I",0.0071,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"FL0904200066STMI1","ST","ABD","Spinosad D","I",0.0012,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"FL0904200072STMI1","ST","ABC","Spinosad A","I",0.011,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"FL0905180026STMI1","ST","ABC","Spinosad A","I",0.0025,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"FL0906150072STMI1","ST","ABC","Spinosad A","I",0.0037,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"MI0906160103STMI1","ST","ABD","Spinosad D","I",0.0028,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"MI0908170088STMI1","ST","ABC","Spinosad A","I",0.0087,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"NY0903170113STMI1","ST","ABD","Spinosad D","I",0.005,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"NY0905200259STMI1","ST","ABC","Spinosad A","I",0.2,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"NY0906220088STMI1","ST","ABD","Spinosad D","I",0.0033,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"NY0906220113STMI1","ST","ABC","Spinosad A","I",0.0029,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"OH0907270118STMI1","ST","ABD","Spinosad D","I",0.0016,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"OH0907270412STMI1","ST","ABC","Spinosad A","I",0.0034,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"OH0911230212STMI1","ST","ABD","Spinosad D","I",0.0066,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"TX0904270212STMI1","ST","ABC","Spinosad A","I",0.1,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"TX0905260419STMI1","ST","ABC","Spinosad A","I",0.026,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"TX0906220215STMI1","ST","ABC","Spinosad A","I",0.0023,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"TX0907270419STMI1P","ST","ABD","Spinosad D","I",0.0011,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"TX0908240408STMI1","ST","ABC","Spinosad A","I",0.0014,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad a"
"WI0907270103STMI1","ST","ABD","Spinosad D","I",0.0011,0.001,"M","LU",NA,NA,"P","O","805","52","1","spinosad d"
"CA1410200152STCA1","ST","ABB","Spinosad","I",0.024,0.0025,"M","LU",NA,NA,NA,"O","805","52","1","spinosad"
"CA1501200010STCA1A","ST","ABB","Spinosad","I",0.071,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"CA1503160609STCA1","ST","ABB","Spinosad","I",0.0055,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"CA1505180056STCA1","ST","ABB","Spinosad","I",0.0097,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"CA1508170152STCA1P","ST","ABB","Spinosad","I",0.22,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"CA1509140561STCA1P","ST","ABB","Spinosad","I",0.014,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"CA1509140610STCA1","ST","ABB","Spinosad","I",0.0058,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"CO1512280007STCA1","ST","ABB","Spinosad","I",0.0072,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"FL1506220025STCA1","ST","ABB","Spinosad","I",0.047,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"FL1506220072STCA1","ST","ABB","Spinosad","I",0.015,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"MD1502250047STCA1","ST","ABB","Spinosad","I",0.034,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"MD1507290021STCA1","ST","ABB","Spinosad","I",0.013,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"MD1507290042STCA1","ST","ABB","Spinosad","I",0.025,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"OH1503230212STCA1P","ST","ABB","Spinosad","I",0.036,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"TX1502170406STCA1","ST","ABB","Spinosad","I",0.023,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"TX1507200020STCA1","ST","ABB","Spinosad","I",0.013,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"WA1502230033STCA1","ST","ABB","Spinosad","I",0.17,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"CA1604180627STCA1","ST","ABB","Spinosad","I",0.0042,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"CA1605160097STCA1","ST","ABB","Spinosad","I",0.0064,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"CA1606200410STCA1","ST","ABB","Spinosad","I",0.0091,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"CA1609190630STCA1","ST","ABB","Spinosad","I",0.0027,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"CO1605230010STCA1","ST","ABB","Spinosad","I",0.0036,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"FL1609260002STCA1","ST","ABB","Spinosad","I",0.0086,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"FL1609260073STCA1","ST","ABB","Spinosad","I",0.015,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"MD1606290001STCA1","ST","ABB","Spinosad","I",0.0046,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"MD1608240047STCA1","ST","ABB","Spinosad","I",0.016,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"MI1609270030STCA1","ST","ABB","Spinosad","I",0.011,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"TX1603210211STCA1","ST","ABB","Spinosad","I",0.018,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"MI1501260106STCA1","ST","ABB","Spinosad","I",0.061,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"NY1508180156STCA1","ST","ABB","Spinosad","I",0.007,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
"TX1507200406STCA1","ST","ABB","Spinosad","I",0.021,0.0025,"M","LU",NA,NA,NA,"O","805","52","0.9","spinosad"
